科目代號,學分數,科目名稱(中),科目名稱(英),授課教師(中),授課教師(英),開課系級,上課時間(中),上課時間(英),上課地點,修別,授課語文,"是否為核心通識",異動備註,科目備註說明,
599949031,3.0,大學外文（,College Foreign,周從郁,Chou Chung Yu,外文中心,五234,fri09-12 fri 09 10 11,研究250105,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為德文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：德文,
599950001,3.0,大學外文（,College Foreign,彭南儀,PENG NAN-YI,外文中心,二234,tue09-12 tue 09 10 11,資訊140107,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為日文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：日文,
599950011,3.0,大學外文（,College Foreign,彭南儀,PENG NAN-YI,外文中心,二D56,tue13-16 tue 13 14 15,資訊140107,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為日文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：日文,
599950021,3.0,大學外文（,College Foreign,彭南儀,PENG NAN-YI,外文中心,四234,thu09-12 thu 09 10 11,資訊140107,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為日文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：日文,
599950031,3.0,大學外文（,College Foreign,彭南儀,PENG NAN-YI,外文中心,四D56,thu13-16 thu 13 14 15,資訊140107,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為日文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：日文,
599950041,3.0,大學外文（,College Foreign,王麗香,WANG LI HSIANG,外文中心,一D56,mon13-16 mon 13 14 15,資訊140106,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為日文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：日文,
601017001,3.0,國際公法,Public International,許耀明,HSU YAO-MING,法律三甲,二D56,tue13-16 tue 13 14 15,大勇210105,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:104級法制學程。,
601042001,3.0,行政救濟法,Law on,詹鎮榮,CHAN CHEN-JUNG,法律三甲,四234,thu09-12 thu 09 10 11,大智190101,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:104級法制學程。,
601047001,2.0,公平交易法,Fair Trade Law,王立達,WANG LI-DAR,法律三甲,五67,fri15-17 fri 15 16,大勇210104,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2018/01/02;,＠備註Note:103級及104級財經法學程。,
601056001,3.0,社會法,Social Welfare Law,孫迺翊,SUN NAI-YI,法律三甲,三234,wed09-12 wed 09 10 11,大勇210206,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:104級法制學程。,
